Nom;Téléphone;Site;Email_Scrapé;Pixel_FB;Mobile_OK;CMS;IA_Relevant
Dreamwall;Numéro de téléphone: 071 60 01 60;http://www.dreamwall.be/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
Lady Ace Factory;Numéro de téléphone: 0471 88 01 92;https://www.ladyacefactory.com/;projects@ladyacefactory.com;OUI;OUI;WordPress;UNKNOWN
Design Innovation;Numéro de téléphone: 071 23 21 33;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
MolenGeek Charleroi;Numéro de téléphone: 02 880 99 50;https://charlewood.com/;info@molengeek.com;NON;OUI;WordPress;UNKNOWN
cgcm studio;Numéro de téléphone: 0467 77 43 91;https://www.cgcmstudio.com/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
Dirty Monitor;Numéro de téléphone: 071 11 71 00;http://www.dirtymonitor.com/;info@dirtymonitor.com;NON;OUI;NOT_FOUND;UNKNOWN
Glitch Prod;Numéro de téléphone: 0497 82 01 98;https://glitch-prod.com/;info@glitch-prod.com;NON;OUI;WordPress;UNKNOWN
Magic Loom;Numéro de téléphone: 0486 33 13 55;http://www.magicloom.studio/;NOT_FOUND;NON;OUI;WordPress;UNKNOWN
Centre de compétence Forem Cepegra;Numéro de téléphone: 071 29 50 07;https://www.formation-cepegra.be/;NOT_FOUND;NON;OUI;NOT_FOUND;UNKNOWN
G.S.A.R.A. education aux et par les médias;Numéro de téléphone: 071 65 19 45;https://charleroi.gsara.be/;charleroi@gsara.be;NON;OUI;WordPress;UNKNOWN
E6K [École 6000];NOT_FOUND;http://www.e6k.be/;mail@adresse.com;NON;OUI;NOT_FOUND;UNKNOWN
